A,B,C
-0.91,-0.56,-1
-0.05,0.95,1
-0.72,0.62,1
-0.86,0.55,1
0.45,-0.86,1
-0.49,-0.1,1
0.17,0.22,1
-0.19,0.68,-1
-0.73,0.27,-1
-0.82,-0.81,-1
0.47,0.93,-1
-0.59,-0.1,1
-0.48,0.7,1
-0.39,0.49,1
-0.42,0.25,1
0.38,0.61,1
0.12,-0.86,1
0.33,-0.61,1
0.38,0.48,1
-0.67,-0.39,-1
0.62,-0.05,-1
0.97,-0.99,1
-0.12,-0.59,1
-0.2,0.76,1
0.88,0.29,-1
-0.75,-0.44,1
-0.58,0.31,-1
-0.22,0.97,1
0.95,-0.66,1
0.67,0.56,-1
0.9,-0.02,1
-0.06,-0.29,-1
0.43,-0.81,1
-0.35,-0.09,1
-0.82,0.21,1
0.16,0.79,-1
0.01,-0.2,1
-0.17,0.17,1
0.72,-0.73,-1
0.41,0.51,1
0.49,-0.66,-1
-0.87,0.2,-1
-0.8,-0.59,-1
0.18,-0.98,1
-0.41,-0.59,1
-0.58,0.54,1
-0.55,-0.58,1
-0.13,0.94,-1
0.97,-0.31,-1
0.23,0.37,-1
-0.08,-0.78,1
-0.32,0.72,-1
0.31,0.03,1
-0.94,0.87,1
-0.65,0.86,1
0.05,0.11,1
-0.31,-0.9,-1
-0.79,0.22,1
1,-0.93,-1
-0.55,0.9,1
-0.18,0.05,-1
0.08,0.54,-1
0.12,0.63,1
0.15,-0.29,1
0.62,0.75,1
-0.47,0.1,1
-0.87,-0.63,1
-0.59,0.1,1
0.32,0.05,1
-0.42,0.51,1
-0.73,0.13,1
-0.2,0.07,1
-1,-0.39,1
-1,-0.06,1
0.9,-0.43,1
-0.57,0.51,1
-0.78,0.08,1
0.13,0.15,-1
-0.92,0.45,1
-0.77,-0.07,1
-0.77,0.32,1
-0.15,-0.32,1
-0.21,-0.82,1
-0.73,-0.69,1
0.28,-0.08,1
0.94,0.13,-1
0.71,0.05,-1
0.41,-0.49,1
0.68,0.26,1
0.45,0.6,1
0.37,0.59,-1
0.65,-0.64,1
0.86,0.01,-1
0.35,-0.22,1
0.85,-0.95,1
0.91,0.9,1
0.21,-0.49,1
-0.86,-0.87,1
-0.65,-0.18,-1
-0.87,-0.5,1
0.81,-0.02,1
-0.85,0.33,1
-0.37,-0.09,1
-0.2,-0.63,1
0.28,-0.4,1
-0.87,-0.89,-1
0.58,-0.07,1
-0.2,0.52,1
0.36,-0.77,1
-0.21,0.21,-1
-1,0.77,1
0.3,0.7,1
0.72,0.79,1
-0.41,-0.71,1
-0.19,0.88,1
0.43,-0.85,-1
-0.88,-0.99,-1
0.57,-0.19,1
0.26,0.03,1
0.99,0.68,1
-0.18,0.32,1
0.9,0.43,-1
-0.13,0.12,-1
0.1,-0.52,-1
0.68,0.52,1
0.47,0.37,-1
0.77,-0.32,1
0.08,-0.11,1
0.03,-0.05,1
0.86,-0.97,1
0.39,0.85,1
-0.12,-0.04,-1
-0.81,-0.93,1
0.94,0.78,-1
-0.97,-0.53,-1
-0.47,-0.46,-1
0.06,0.93,-1
0.42,0.52,1
0.98,-0.11,-1
0.2,0.65,-1
-0.24,-0.27,-1
0.88,0.65,1
-0.87,0.57,1
-0.52,0.08,1
0.07,-0.97,-1
0.45,0.47,1
-0.53,0.19,1
-0.47,-0.81,-1
-0.81,-0.98,1
-0.3,0.43,1
-0.88,-0.38,-1
-0.65,-0.57,1
-0.65,-0.03,1
-0.94,0.04,1
-0.86,0.23,1
-0.61,0.7,-1
0.9,0.49,1
0.13,0.38,1
0.23,0.96,-1
-0.59,-0.3,1
-0.98,-0.28,1
0.68,-0.07,1
0.06,0.12,-1
0.59,0.71,1
-0.25,-0.34,-1
-0.69,-0.86,-1
0.98,0.08,1
0.05,-0.11,1
0.69,0,-1
-0.2,0.98,1
-0.69,-0.57,1
0.52,0.32,1
0.4,-0.11,-1
0.68,0.88,1
-0.55,0.85,1
-0.59,-0.39,1
0.56,-0.73,-1
0.04,0.5,1
0.67,-0.24,1
-0.92,0.9,-1
-0.41,0.26,1
0.9,-0.38,1
-0.44,-0.71,1
0.78,-0.55,1
0.08,0.87,1
0.6,0.59,-1
0.73,0.71,-1
0.08,-0.72,1
0.58,0.37,-1
-0.2,-0.64,1
0.83,0.29,1
0.21,0.63,1
0.88,0.52,1
0.31,-0.22,1
-0.17,-0.84,1
-0.23,-0.96,1
-0.46,-0.38,1
-0.8,-0.92,1
-0.85,0.61,-1
0.74,-0.32,1
0.86,0.13,1
-0.78,-0.25,-1
-0.17,-0.99,1
-0.18,-0.7,-1
-0.31,0.81,1
0.88,-0.37,1
-0.75,-0.28,-1
-0.98,0.62,1
0.54,0.45,-1
-0.35,-0.66,1
-0.44,-0.81,1
0.26,-0.72,1
-0.32,-0.47,1
0.86,-0.01,1
-0.32,-0.92,1
-0.65,0.4,1
-0.54,0.93,1
0.89,-0.59,1
0.12,0.66,1
-0.02,-0.37,-1
0.24,-0.26,1
-0.49,-0.36,1
-0.21,-0.48,1
-0.53,0.43,1
-0.76,-0.76,1
0.48,0.17,1
-0.54,-0.07,-1
-0.02,0.08,1
0.47,0.66,1
0.67,-0.7,1
-0.08,0.79,1
0.01,-0.94,-1
0.73,-0.49,1
0.83,0.63,1
-0.9,-0.3,1
0.68,0.94,1
-0.78,-0.29,1
0.3,0.13,1
-0.36,-0.72,1
0.23,-1,1
-0.4,-0.28,1
0.55,0.76,1
0.15,0.87,1
-0.39,-1,-1
0.4,1,1
0.72,-0.79,1
-0.9,0.3,1
-0.03,0.97,1
0.52,0.6,1
0.8,-0.33,1
0.29,0.56,-1
-0.2,-0.85,-1
-0.85,0.12,1
0.23,-0.13,-1
0.61,0.3,-1
0.1,-0.21,1
1,-0.7,1
0.2,0.51,1
-0.11,0.71,1
0.72,-0.83,-1
-0.59,-0.75,1
0.62,-0.72,-1
-0.35,0.03,1
-0.33,0.85,1
-0.64,0.39,1
-0.89,-0.44,-1
-0.6,-0.07,-1
0.56,0.97,-1
-0.88,0.73,-1
-0.02,-0.67,1
0.55,-0.49,-1
0.62,-0.78,-1
0.17,-0.31,-1
-0.08,0.45,-1
-0.86,0.47,1
-0.67,-0.94,1
0.96,0.33,-1
0.84,-0.07,1
-0.1,0.55,-1
-0.87,0.66,1
0.26,-0.66,1
-0.3,-0.87,1
0.97,0.48,1
0.96,0.45,1
-0.44,0.5,-1
-0.93,-0.24,-1
-0.34,0.52,1
0.06,0.58,1
-0.01,0.23,-1
0.94,-0.28,-1
0.9,-0.07,1
-0.62,0.51,1
0.85,0.66,1
0.46,-0.56,-1
0.31,0.61,1
0.29,0.87,1
-0.55,-0.81,-1
-0.65,0.52,1
-0.43,-0.86,1
0.08,-0.66,1
-0.14,0.51,1
-0.54,0.15,1
0.4,-0.39,1
0.28,-0.94,1
0.01,0.61,1
0.02,0.58,-1
-0.77,0.69,1
-0.14,0.3,-1
0.44,0.81,1
-0.44,0.34,-1
-0.17,0.17,1
-0.88,-0.9,1
-0.11,0.54,1
-0.53,-0.36,-1
-0.72,-0.77,1
0.39,0.33,1
0.14,-0.67,-1
-0.12,-0.03,1
-0.77,0.02,1
-0.86,-0.23,-1
0.27,-0.78,1
0.15,-0.87,1
-0.98,0.55,1
-0.96,-0.52,1
-0.18,0.7,-1
0.92,0.47,1
0.59,0.44,1
-0.53,-0.38,-1
0.96,-0.33,-1
-0.02,-0.5,1
-0.6,0.03,1
-0.87,-0.74,1
-0.59,0.12,1
0.21,-0.26,1
0.7,0.42,1
-0.04,-0.53,1
-0.62,-0.72,1
-0.98,-0.95,1
-0.16,0.49,-1
0.89,0.29,1
-0.2,0.58,1
0.87,0.39,-1
-0.54,0.98,-1
-0.46,-0.59,1
0.63,0.67,1
-0.16,0.81,-1
-0.28,-0.47,1
-0.46,0.79,1
-0.39,0.07,-1
-0.51,0.27,1
0.14,-0.11,1
-0.83,0.1,1
0.25,-0.85,1
-0.22,0.79,1
-0.72,-0.81,1
0.13,0.32,1
0.04,0.25,-1
-0.58,0.15,1
0.26,0.69,1
0.28,-0.99,1
0.21,0.68,1
-0.01,-0.84,1
0.72,0.7,1
-0.82,0.44,1
0.31,0.14,-1
0.6,0.93,-1
-0.56,0.1,1
0.9,1,-1
-0.09,-0.48,1
-0.32,0.64,1
0.69,-0.48,-1
0.24,0.71,1
0.32,0.83,-1
-0.25,-0.39,1
-0.65,-0.03,1
0.52,0.02,-1
-0.92,0.59,1
1,0.31,-1
0.35,0.75,1
0.33,-0.43,1
0.97,-0.44,-1
-0.68,-0.79,-1
-0.64,-0.92,-1
0.18,0.18,1
-0.25,0.96,-1
0.17,0.97,1
0.58,-0.88,1
0.39,-0.77,1
-0.19,0.37,1
0.33,-0.19,1
-0.42,0.82,1
-0.65,-0.35,1
-0.38,-0.78,-1
-0.01,-0.32,1
-0.45,-0.35,1
0.62,-0.04,1
-0.75,-0.86,1
0.94,0.95,1
-0.28,0.58,1
-0.8,-0.96,1
-0.34,-0.06,1
0.22,-0.9,-1
-0.5,-0.88,1
0.19,0.29,1
0.49,-0.84,1
-0.75,0.31,1
0.18,-0.31,1
-0.5,0.07,-1
-0.51,0.77,1
0.83,-0.52,-1
0.84,-0.13,1
-0.39,0.83,1
-0.4,-0.62,-1
0.52,-0.87,-1
0.77,-0.97,1
-0.93,0.41,1
0.61,-0.15,1
-0.94,0.95,1
0.45,0.55,-1
0.82,0.35,1
-0.06,0.85,-1
0.31,0.98,1
0.88,-0.61,1
-0.94,-0.01,1
0.37,0.44,1
0,0.67,1
-0.01,-0.4,1
-0.45,-0.47,1
-0.52,-0.28,1
-0.4,0.35,1
-0.21,0.56,-1
-0.85,-0.74,1
-0.8,-0.14,1
0.44,-0.51,-1
-0.15,-0.1,1
0.15,0.1,-1
0.52,-0.16,1
0.06,-1,1
-0.09,0.55,-1
-0.68,0.23,-1
0.82,-0.68,1
-0.63,0.03,1
-0.77,0.08,-1
-0.6,-0.97,1
-0.84,-0.76,1
0.76,0.67,1
-0.43,0.35,1
-0.17,-0.6,1
-0.65,-1,1
0.35,-0.92,1
-0.93,-0.56,-1
-0.38,0.02,1
-0.62,0.27,1
0.14,-0.21,1
0.88,-0.79,1
-0.77,-0.84,-1
-0.09,0.14,-1
-0.79,0.24,1
0.14,-0.52,1
0.87,0.11,1
0.51,-0.92,-1
0.51,-0.17,1
-0.43,-0.84,1
-0.73,0.2,1
0.44,0.5,1
0.51,0.68,1
0.48,0.75,1
0.67,-0.42,1
-0.28,-0.06,1
0.25,0.03,1
-0.87,-0.22,1
0.27,-0.67,1
0.34,-0.61,-1
-0.35,0.7,1
0.63,0.17,-1
0.26,0.45,-1
-0.76,-0.03,1
0.59,-0.61,1
-0.7,0.01,1
0.92,-0.19,-1
-0.01,0.31,-1
-0.69,-0.26,-1
0.64,-0.88,1
0.67,-0.78,1
0.82,-0.04,1
0.98,-0.76,-1
0.85,0.12,1
-0.4,-0.19,-1
0.58,0.7,1
1,0.78,1
0.32,0,1
0.92,0.1,1
-0.95,-0.98,-1
-0.9,0.86,1
-0.28,0.74,1
-0.17,-0.3,1
-0.26,0.99,-1
0.84,-0.54,1
0.74,0.86,1
-0.33,-0.71,-1
0.61,-0.8,-1
0.26,0.18,-1
-0.59,0.13,-1
0.37,0.68,1
-0.76,-0.42,1
-0.88,-0.32,1
-1,-0.47,1
-0.71,-0.61,1
-0.66,0.15,1
-0.44,0.38,1
0.76,0.98,-1
-0.28,0.44,-1
-0.86,-0.23,1
0.68,-0.39,1
0.66,-0.74,1
0.46,0.73,1
0.09,-0.38,1
-0.89,-0.02,1
-0.98,-0.69,-1
0.12,-0.14,-1
-0.6,-0.46,1
-0.11,0.21,1
0.74,-0.6,-1
-0.62,0.05,1
-0.04,-0.21,1
-0.64,0.92,-1
0.2,0.35,-1
0.08,-0.58,1
-0.48,-0.1,-1
0.64,0.63,1
0.11,0.67,-1
-0.51,-0.3,-1
0.18,0.15,-1
0.31,-0.95,-1
0.32,-0.29,-1
-0.67,-0.3,1
0.56,0.19,1
-0.57,-0.24,-1
0.81,0.62,1
0.8,-0.09,-1
-0.01,-0.33,1
-0.88,-0.98,1
0.41,0.8,-1
-0.19,0.2,1
0.35,0.82,1
-0.04,0.18,1
-0.83,0.09,-1
0.84,-0.11,1
-0.49,-0.8,-1
-0.89,0.94,1
-0.49,-0.32,1
0.41,-0.19,1
-0.26,0.92,-1
-0.04,-0.53,1
-0.71,0.36,-1
0.85,-0.37,-1
1,-0.2,1
-0.05,-0.78,-1
-0.13,0.18,1
-0.83,0.62,1
0.81,-0.46,1
-0.24,0.6,1
0.72,0.93,-1
-0.36,0.97,1
0.03,-0.45,-1
-0.46,-0.22,1
0.14,0.48,1
-0.85,0.6,1
-0.7,-0.92,1
0.01,0.56,1
0.84,-0.44,1
-0.92,-0.97,1
-0.15,-0.29,1
0.82,-0.77,1
0.7,0.36,1
-0.1,0.47,-1
-0.93,0.49,1
0.75,0.58,1
0.51,-0.33,1
0.16,0,-1
-0.65,-0.18,1
-0.79,0.5,1
0.48,-0.5,1
0.34,0.48,1
-0.16,-0.15,1
0.08,0.45,1
-0.87,-0.45,1
0.97,-0.03,1
0.82,-0.47,1
-0.75,0.74,1
0.32,-0.7,1
0.96,0.72,-1
-0.32,-0.39,1
0.22,-0.57,1
-0.56,-0.3,1
-0.18,0.89,1
-0.83,-0.72,-1
0.62,-0.05,-1
-0.76,-0.96,1
-0.29,0.73,1
0.94,0.75,-1
-0.4,-0.26,-1
0.78,-0.77,1
-0.33,-0.23,1
-0.12,-0.83,-1
0.76,-0.15,1
0.58,0.61,1
-0.43,0.56,1
0.72,0.26,1
-0.94,0.19,-1
0.87,-0.33,1
-0.39,-0.42,1
-0.35,0.84,-1
-0.38,-0.74,1
0.06,-0.86,-1
